Source 	 Sink 	 Weight
 A 	 AAL 	 1.199583
 A 	 AAP 	 1.260472
 A 	 AAPL 	 1.426122
 A 	 ABBV 	 1.110045
 A 	 ABC 	 1.230741
 A 	 ABT 	 1.005328
 A 	 ACN 	 1.045794
 A 	 ADBE 	 1.051711
 A 	 ADI 	 1.122624
 A 	 ADM 	 1.126276
 A 	 ADP 	 1.200392
 A 	 ADS 	 1.153916
 A 	 ADSK 	 1.06362
 A 	 AEE 	 1.380354
 A 	 AEP 	 1.397591
 A 	 AES 	 1.180372
 A 	 AET 	 1.141106
 A 	 AFL 	 1.031268
 A 	 AGN 	 1.103211
 A 	 AIG 	 1.065611
 A 	 AIV 	 1.287825
 A 	 AIZ 	 1.236604
 A 	 AJG 	 1.117616
 A 	 AKAM 	 1.210149
 A 	 ALB 	 0.9756178
 A 	 ALK 	 1.278704
 A 	 ALL 	 1.220738
 A 	 ALLE 	 1.072745
 A 	 ALXN 	 1.088655
 A 	 AMAT 	 1.026125
 A 	 AMD 	 1.190818
 A 	 AME 	 0.9831717
 A 	 AMG 	 0.9702796
 A 	 AMGN 	 1.072481
 A 	 AMP 	 1.068501
 A 	 AMT 	 1.14507
 A 	 AMZN 	 1.158702
 A 	 AN 	 1.197867
 A 	 ANTM 	 1.207922
 A 	 AON 	 1.167666
 A 	 APA 	 1.154711
 A 	 APC 	 1.148551
 A 	 APD 	 1.126406
 A 	 APH 	 1.184583
 A 	 ARE 	 1.242572
 A 	 ARNC 	 1.280787
 A 	 ATVI 	 1.16628
 A 	 AVB 	 1.281312
 A 	 AVGO 	 1.129157
 A 	 AVY 	 1.077572
 A 	 AWK 	 1.39539
 A 	 AXP 	 1.141572
 A 	 AYI 	 1.131768
 A 	 AZO 	 1.220406
 A 	 BA 	 1.087413
 A 	 BAC 	 1.117518
 A 	 BAX 	 1.256754
 A 	 BBBY 	 1.250358
 A 	 BBT 	 1.076865
 A 	 BBY 	 1.192762
 A 	 BCR 	 1.161264
 A 	 BDX 	 1.050341
 A 	 BEN 	 1.013226
 A 	 BHI 	 1.134935
 A 	 BIIB 	 1.096016
 A 	 BK 	 1.025764
 A 	 BLK 	 1.000591
 A 	 BLL 	 1.036516
 A 	 BMY 	 1.226548
 A 	 BSX 	 1.050678
 A 	 BWA 	 1.065618
 A 	 BXP 	 1.225161
 A 	 C 	 1.048332
 A 	 CA 	 1.034142
 A 	 CAG 	 1.273502
 A 	 CAH 	 1.0692
 A 	 CAT 	 1.073578
 A 	 CB 	 1.054249
 A 	 CBG 	 1.000263
 A 	 CBOE 	 1.283498
 A 	 CBS 	 1.125207
 A 	 CCI 	 1.07975
 A 	 CCL 	 1.094326
 A 	 CELG 	 1.221938
 A 	 CERN 	 1.194143
 A 	 CF 	 1.30422
 A 	 CHD 	 1.308183
 A 	 CHK 	 1.206369
 A 	 CHRW 	 1.137068
 A 	 CHTR 	 1.129442
 A 	 CI 	 1.247499
 A 	 CINF 	 1.186071
 A 	 CL 	 1.13371
 A 	 CLX 	 1.291625
 A 	 CMA 	 1.07639
 A 	 CMCSA 	 1.365348
 A 	 CME 	 1.215669
 A 	 CMG 	 1.20319
 A 	 CMI 	 1.171329
 A 	 CMS 	 1.42653
 A 	 CNC 	 1.377324
 A 	 CNP 	 1.238349
 A 	 COF 	 1.098761
 A 	 COG 	 1.22611
 A 	 COH 	 1.066821
 A 	 COL 	 1.169646
 A 	 COO 	 1.092154
 A 	 COP 	 1.109727
 A 	 COST 	 1.167307
 A 	 COTY 	 1.283897
 A 	 CPB 	 1.277103
 A 	 CRM 	 1.104969
 A 	 CSCO 	 1.042576
 A 	 CSX 	 1.105058
 A 	 CTAS 	 1.129911
 A 	 CTL 	 1.213081
 A 	 CTSH 	 1.1459
 A 	 CTXS 	 1.101037
 A 	 CVS 	 1.129373
 A 	 CVX 	 1.097536
 A 	 CXO 	 1.137617
 A 	 D 	 1.39752
 A 	 DAL 	 1.133783
 A 	 DD 	 1.148464
 A 	 DE 	 1.156814
 A 	 DFS 	 1.111956
 A 	 DG 	 1.267248
 A 	 DGX 	 0.9462191
 A 	 DHI 	 1.071258
 A 	 DHR 	 1.200641
 A 	 DIS 	 1.08037
 A 	 DISCA 	 1.21398
 A 	 DISCK 	 1.213711
 A 	 DISH 	 1.120864
 A 	 DLPH 	 1.005627
 A 	 DLR 	 1.22956
 A 	 DLTR 	 1.273831
 A 	 DOV 	 1.096252
 A 	 DOW 	 1.130906
 A 	 DPS 	 1.279963
 A 	 DRI 	 1.243944
 A 	 DTE 	 1.394618
 A 	 DUK 	 1.440522
 A 	 DVA 	 1.155618
 A 	 DVN 	 1.123203
 A 	 DXC 	 1.346684
 A 	 EA 	 1.205007
 A 	 EBAY 	 1.300186
 A 	 ECL 	 0.9870057
 A 	 ED 	 1.471515
 A 	 EFX 	 0.9973113
 A 	 EIX 	 1.4499
 A 	 EL 	 1.128503
 A 	 EMN 	 1.140887
 A 	 EMR 	 1.074818
 A 	 EOG 	 1.181703
 A 	 EQIX 	 1.244312
 A 	 EQR 	 1.302138
 A 	 EQT 	 1.299108
 A 	 ES 	 1.389136
 A 	 ESRX 	 1.247345
 A 	 ESS 	 1.23784
 A 	 ETFC 	 1.090841
 A 	 ETN 	 1.168203
 A 	 ETR 	 1.346925
 A 	 EVHC 	 1.278726
 A 	 EW 	 1.220658
 A 	 EXC 	 1.415426
 A 	 EXPD 	 1.225175
 A 	 EXPE 	 1.112723
 A 	 EXR 	 1.253678
 A 	 F 	 1.033367
 A 	 FAST 	 1.228647
 A 	 FB 	 1.018512
 A 	 FBHS 	 1.071598
 A 	 FCX 	 1.073399
 A 	 FDX 	 1.072276
 A 	 FE 	 1.379173
 A 	 FFIV 	 1.251136
 A 	 FIS 	 1.094733
 A 	 FISV 	 1.119969
 A 	 FITB 	 1.097642
 A 	 FL 	 1.252247
 A 	 FLIR 	 1.218606
 A 	 FLR 	 1.069986
 A 	 FLS 	 1.094504
 A 	 FMC 	 1.013564
 A 	 FOX 	 1.061018
 A 	 FOXA 	 1.07225
 A 	 FRT 	 1.304612
 A 	 FTI 	 1.106657
 A 	 GD 	 1.148927
 A 	 GE 	 1.044069
 A 	 GGP 	 1.281887
 A 	 GILD 	 1.189559
 A 	 GIS 	 1.193252
 A 	 GLW 	 1.115551
 A 	 GM 	 1.055159
 A 	 GOOG 	 1.137831
 A 	 GOOGL 	 1.132826
 A 	 GPC 	 1.169821
 A 	 GPN 	 1.18197
 A 	 GPS 	 1.224698
 A 	 GRMN 	 1.07558
 A 	 GS 	 1.107403
 A 	 GT 	 1.191464
 A 	 GWW 	 1.241004
 A 	 HAL 	 1.112158
 A 	 HAS 	 1.245811
 A 	 HBAN 	 1.081065
 A 	 HBI 	 1.288826
 A 	 HCA 	 1.118388
 A 	 HCN 	 1.326244
 A 	 HCP 	 1.369692
 A 	 HD 	 1.010803
 A 	 HES 	 1.092352
 A 	 HIG 	 1.187718
 A 	 HOG 	 1.15591
 A 	 HOLX 	 1.105299
 A 	 HON 	 1.027924
 A 	 HP 	 1.149616
 A 	 HPQ 	 1.268177
 A 	 HRB 	 1.27592
 A 	 HRL 	 1.495967
 A 	 HRS 	 1.045703
 A 	 HSIC 	 0.9787817
 A 	 HST 	 1.159996
 A 	 HSY 	 1.229727
 A 	 HUM 	 1.28119
 A 	 IBM 	 1.130667
 A 	 ICE 	 1.443683
 A 	 IDXX 	 1.313856
 A 	 IFF 	 1.157977
 A 	 ILMN 	 1.113844
 A 	 INCY 	 1.183518
 A 	 INTC 	 1.107999
 A 	 INTU 	 1.097255
 A 	 IP 	 1.148221
 A 	 IPG 	 1.054862
 A 	 IR 	 1.055795
 A 	 IRM 	 1.278349
 A 	 ISRG 	 1.174937
 A 	 IT 	 1.147456
 A 	 ITW 	 1.039513
 A 	 IVZ 	 0.994384
 A 	 JBHT 	 1.206191
 A 	 JCI 	 1.139908
 A 	 JEC 	 1.021996
 A 	 JNJ 	 1.126648
 A 	 JNPR 	 1.152904
 A 	 JPM 	 1.050981
 A 	 JWN 	 1.289826
 A 	 K 	 1.24385
 A 	 KEY 	 1.109074
 A 	 KIM 	 1.321591
 A 	 KLAC 	 1.207943
 A 	 KMB 	 1.149745
 A 	 KMI 	 1.134863
 A 	 KMX 	 1.077726
 A 	 KO 	 1.192768
 A 	 KORS 	 1.30513
 A 	 KR 	 1.395536
 A 	 KSS 	 1.181959
 A 	 KSU 	 1.161692
 A 	 L 	 1.119007
 A 	 LB 	 1.284102
 A 	 LEG 	 1.14573
 A 	 LEN 	 1.055258
 A 	 LH 	 0.9280585
 A 	 LKQ 	 1.158059
 A 	 LLL 	 1.189423
 A 	 LLY 	 1.210512
 A 	 LMT 	 1.268935
 A 	 LNC 	 1.043481
 A 	 LNT 	 1.447885
 A 	 LOW 	 1.062698
 A 	 LRCX 	 1.100282
 A 	 LUK 	 1.108122
 A 	 LUV 	 1.188821
 A 	 LVLT 	 1.22344
 A 	 LYB 	 1.092288
 A 	 M 	 1.255205
 A 	 MA 	 1.20352
 A 	 MAA 	 1.243791
 A 	 MAC 	 1.259058
 A 	 MAR 	 1.147142
 A 	 MAS 	 0.9491363
 A 	 MAT 	 1.30416
 A 	 MCD 	 1.138585
 A 	 MCHP 	 1.031915
 A 	 MCK 	 1.075527
 A 	 MCO 	 1.016805
 A 	 MDLZ 	 1.110081
 A 	 MDT 	 1.038086
 A 	 MET 	 1.04953
 A 	 MHK 	 1.054872
 A 	 MJN 	 1.040467
 A 	 MKC 	 1.253002
 A 	 MLM 	 1.035727
 A 	 MMC 	 1.108011
 A 	 MMM 	 1.083666
 A 	 MNK 	 1.199498
 A 	 MNST 	 1.333221
 A 	 MO 	 1.29131
 A 	 MON 	 1.093448
 A 	 MOS 	 1.110799
 A 	 MPC 	 1.206462
 A 	 MRK 	 1.134594
 A 	 MRO 	 1.108287
 A 	 MS 	 1.041712
 A 	 MSFT 	 1.134704
 A 	 MSI 	 1.144166
 A 	 MTB 	 1.13712
 A 	 MTD 	 0.9099502
 A 	 MU 	 1.103231
 A 	 MUR 	 1.177154
 A 	 MYL 	 1.201459
 A 	 NAVI 	 1.219182
 A 	 NBL 	 1.085976
 A 	 NDAQ 	 1.196519
 A 	 NEE 	 1.369988
 A 	 NEM 	 1.288738
 A 	 NFLX 	 1.318049
 A 	 NFX 	 1.256169
 A 	 NI 	 1.403715
 A 	 NKE 	 1.310626
 A 	 NLSN 	 1.107139
 A 	 NOC 	 1.212361
 A 	 NOV 	 1.103483
 A 	 NRG 	 1.243201
 A 	 NSC 	 1.078247
 A 	 NTAP 	 1.236732
 A 	 NTRS 	 1.063093
 A 	 NUE 	 1.135063
 A 	 NVDA 	 1.141405
 A 	 NWL 	 0.9582632
 A 	 NWS 	 0.9962733
 A 	 NWSA 	 0.9900391
 A 	 O 	 1.355946
 A 	 OKE 	 1.164316
 A 	 OMC 	 1.091728
 A 	 ORCL 	 1.050507
 A 	 ORLY 	 1.215096
 A 	 OXY 	 1.122855
 A 	 PAYX 	 1.100846
 A 	 PBCT 	 1.081969
 A 	 PCAR 	 1.118356
 A 	 PCG 	 1.498336
 A 	 PCLN 	 1.06894
 A 	 PDCO 	 1.094425
 A 	 PEG 	 1.374222
 A 	 PEP 	 1.136536
 A 	 PFE 	 1.131171
 A 	 PFG 	 0.973354
 A 	 PG 	 1.223259
 A 	 PGR 	 1.160363
 A 	 PH 	 1.132958
 A 	 PHM 	 1.080235
 A 	 PKI 	 0.9321192
 A 	 PLD 	 1.179401
 A 	 PM 	 1.168445
 A 	 PNC 	 1.11246
 A 	 PNR 	 1.03999
 A 	 PNW 	 1.435576
 A 	 PPG 	 1.21418
 A 	 PPL 	 1.274477
 A 	 PRGO 	 1.260602
 A 	 PRU 	 1.017949
 A 	 PSA 	 1.29953
 A 	 PSX 	 1.09841
 A 	 PVH 	 1.155424
 A 	 PWR 	 1.117203
 A 	 PX 	 1.056648
 A 	 PXD 	 1.211104
 A 	 QCOM 	 1.141213
 A 	 R 	 1.121331
 A 	 RAI 	 1.312312
 A 	 RCL 	 1.139535
 A 	 REG 	 1.250445
 A 	 REGN 	 1.080496
 A 	 RF 	 1.090456
 A 	 RHI 	 1.16404
 A 	 RHT 	 1.098397
 A 	 RIG 	 1.184289
 A 	 RJF 	 1.095491
 A 	 RL 	 1.18101
 A 	 ROK 	 1.04527
 A 	 ROP 	 1.076351
 A 	 ROST 	 1.294567
 A 	 RRC 	 1.343015
 A 	 RSG 	 1.112294
 A 	 RTN 	 1.213375
 A 	 SBUX 	 1.313797
 A 	 SCG 	 1.427683
 A 	 SCHW 	 1.096341
 A 	 SEE 	 1.201848
 A 	 SHW 	 1.045107
 A 	 SIG 	 1.280619
 A 	 SJM 	 1.228211
 A 	 SLB 	 1.139716
 A 	 SLG 	 1.156551
 A 	 SNA 	 1.078225
 A 	 SNI 	 1.156209
 A 	 SNPS 	 1.060076
 A 	 SO 	 1.354593
 A 	 SPG 	 1.290983
 A 	 SPGI 	 1.062552
 A 	 SPLS 	 1.314546
 A 	 SRCL 	 1.306246
 A 	 SRE 	 1.286228
 A 	 STI 	 1.037916
 A 	 STT 	 1.007025
 A 	 STX 	 1.24559
 A 	 STZ 	 1.232876
 A 	 SWK 	 1.037791
 A 	 SWKS 	 1.171247
 A 	 SYK 	 1.087525
 A 	 SYMC 	 1.26474
 A 	 SYY 	 1.225993
 A 	 T 	 1.328432
 A 	 TAP 	 1.203246
 A 	 TDC 	 1.111449
